game_id,action_id,period_id,time_seconds,team_id,player_id,result_name,start_x,start_y,end_x,end_y,dx,dy,type_name,player_name_ko,team_name_ko,position_name,main_position
126285,626,1,1048.8,2348,358515.0,Successful,26.38116,48.064052,50.7516,51.879792,24.37044,3.81574,Pass,안영규,광주 FC,CB,CB
126285,627,1,1051.133,2348,358501.0,,50.7516,51.879792,50.7516,51.879792,0.0,0.0,Pass Received,김진호,광주 FC,RB,RB
126285,628,1,1051.133,2348,358501.0,,50.7516,51.879792,52.22271,51.016336,1.47111,-0.863456,Carry,김진호,광주 FC,RB,RB
126285,629,1,1052.767,2348,358501.0,Successful,52.22271,51.016336,63.14175,56.335968,10.91904,5.319632,Pass,김진호,광주 FC,RB,RB
126285,630,1,1053.967,2348,358506.0,,63.14175,56.335968,63.14175,56.335968,0.0,0.0,Pass Received,안혁주,광주 FC,LW,LW
126285,631,1,1053.967,2348,358506.0,Successful,63.14175,56.335968,88.42398,40.106672,25.28223,-16.229296,Pass,안혁주,광주 FC,LW,LW
126285,632,1,1055.6,2348,358514.0,,88.42398,40.106672,88.42398,40.106672,0.0,0.0,Pass Received,이건희,광주 FC,CF,CF
126285,633,1,1055.6,2348,358514.0,,88.42398,40.106672,89.52735,39.020784,1.10337,-1.085888,Carry,이건희,광주 FC,CF,CF
126285,634,1,1057.2,2348,358514.0,Successful,89.52735,39.020784,93.205245,34.809472,3.677895,-4.211312,Pass,이건희,광주 FC,CF,CF
126285,635,1,1058.467,2348,358511.0,,93.205245,34.809472,93.205245,34.809472,0.0,0.0,Pass Received,이희균,광주 FC,AM,AM
126285,636,1,1058.467,2348,358511.0,Successful,93.205245,34.809472,105.0,34.0,11.794755,-0.809472,Shot,이희균,광주 FC,AM,AM
126285,637,1,1058.467,2348,358511.0,,105.0,34.0,105.0,34.0,0.0,0.0,Goal,이희균,광주 FC,AM,AM
